Samples: 10000, Batch size: 32, Epochs: 500, Noise: 10 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch   83/ 499 | Train: 0.004271 | Test: 0.004267 
Epoch  221/ 499 | Train: 0.003380 | Test: 0.003843 
Epoch   84/ 499 | Train: 0.004226 | Test: 0.004107 
Epoch  222/ 499 | Train: 0.003379 | Test: 0.003842 
Epoch   85/ 499 | Train: 0.004245 | Test: 0.003997 
Epoch  223/ 499 | Train: 0.003380 | Test: 0.003843 
Epoch   86/ 499 | Train: 0.003975 | Test: 0.003984 
Epoch  224/ 499 | Train: 0.003378 | Test: 0.003847 
Epoch   87/ 499 | Train: 0.003967 | Test: 0.003950 
Epoch  225/ 499 | Train: 0.003379 | Test: 0.003845 
Epoch   88/ 499 | Train: 0.003962 | Test: 0.003967 
Epoch  226/ 499 | Train: 0.003379 | Test: 0.003843 
Epoch   89/ 499 | Train: 0.003954 | Test: 0.004001 
Epoch  227/ 499 | Train: 0.003379 | Test: 0.003844 
Epoch   90/ 499 | Train: 0.003950 | Test: 0.003981 
Epoch  228/ 499 | Train: 0.003379 | Test: 0.003842 
Epoch   91/ 499 | Train: 0.003947 | Test: 0.003960 
Epoch  229/ 499 | Train: 0.003378 | Test: 0.003841 
Epoch   92/ 499 | Train: 0.003941 | Test: 0.003949 
Epoch  230/ 499 | Train: 0.003378 | Test: 0.003843 
Epoch   93/ 499 | Train: 0.003940 | Test: 0.004045 
Epoch  231/ 499 | Train: 0.003378 | Test: 0.003843 
Epoch   94/ 499 | Train: 0.003937 | Test: 0.003970 
Epoch  232/ 499 | Train: 0.003378 | Test: 0.003841 
Epoch   95/ 499 | Train: 0.003926 | Test: 0.003985 
Epoch  233/ 499 | Train: 0.003377 | Test: 0.003843 
Epoch   96/ 499 | Train: 0.003930 | Test: 0.004010 
Epoch  234/ 499 | Train: 0.003378 | Test: 0.003842 
Epoch   97/ 499 | Train: 0.003924 | Test: 0.003968 
Epoch  235/ 499 | Train: 0.003378 | Test: 0.003843 
Epoch   98/ 499 | Train: 0.003910 | Test: 0.003954 
Epoch  236/ 499 | Train: 0.003377 | Test: 0.003843 
Epoch   99/ 499 | Train: 0.003914 | Test: 0.003986 
Epoch  237/ 499 | Train: 0.003378 | Test: 0.003843 
Epoch  100/ 499 | Train: 0.003906 | Test: 0.003959 

 Target: tensor([0.2011, 0.1608, 0.5095, 1.0000]) 
Predicted: tensor([0.2059, 0.1443, 0.4986, 0.9010], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4375, 0.1434, 0.2800, 0.1250]) 
Predicted: tensor([0.4018, 0.1273, 0.1950, 0.0759], grad_fn=<SelectBackward0>) 

 Target: tensor([0.3282, 0.5396, 0.3016, 0.3750]) 
Predicted: tensor([0.3296, 0.5293, 0.2765, 0.5104], grad_fn=<SelectBackward0>) 

Epoch  238/ 499 | Train: 0.003377 | Test: 0.003843 
Epoch  101/ 499 | Train: 0.003899 | Test: 0.004015 
Epoch  239/ 499 | Train: 0.003377 | Test: 0.003844 
Epoch  102/ 499 | Train: 0.003897 | Test: 0.003944 
Epoch  240/ 499 | Train: 0.003377 | Test: 0.003845 
Epoch  103/ 499 | Train: 0.003891 | Test: 0.003963 
Epoch  241/ 499 | Train: 0.003377 | Test: 0.003843 
Epoch  104/ 499 | Train: 0.003886 | Test: 0.004002 
Epoch  242/ 499 | Train: 0.003377 | Test: 0.003842 
Epoch  105/ 499 | Train: 0.003888 | Test: 0.003991 
Epoch  243/ 499 | Train: 0.003377 | Test: 0.003843 
Epoch  106/ 499 | Train: 0.003879 | Test: 0.004001 
Epoch  244/ 499 | Train: 0.003377 | Test: 0.003844 
Epoch  107/ 499 | Train: 0.003886 | Test: 0.003954 
Epoch  245/ 499 | Train: 0.003376 | Test: 0.003844 
Epoch  108/ 499 | Train: 0.003876 | Test: 0.003950 
Epoch  246/ 499 | Train: 0.003376 | Test: 0.003843 
Epoch  109/ 499 | Train: 0.003871 | Test: 0.003998 
Epoch  247/ 499 | Train: 0.003376 | Test: 0.003847 
Epoch  110/ 499 | Train: 0.003869 | Test: 0.003953 
Epoch  248/ 499 | Train: 0.003376 | Test: 0.003845 
Epoch  111/ 499 | Train: 0.003863 | Test: 0.003998 
Epoch  249/ 499 | Train: 0.003376 | Test: 0.003843 
Epoch  112/ 499 | Train: 0.003861 | Test: 0.003956 
Epoch  250/ 499 | Train: 0.003375 | Test: 0.003843 
Epoch  113/ 499 | Train: 0.003857 | Test: 0.003953 
Epoch  251/ 499 | Train: 0.003375 | Test: 0.003844 
Epoch  114/ 499 | Train: 0.003852 | Test: 0.003968 
Epoch  252/ 499 | Train: 0.003375 | Test: 0.003845 
Epoch  115/ 499 | Train: 0.003850 | Test: 0.003960 
Epoch  253/ 499 | Train: 0.003375 | Test: 0.003843 
Epoch  116/ 499 | Train: 0.003845 | Test: 0.003983 
Epoch  254/ 499 | Train: 0.003375 | Test: 0.003845 
Epoch  117/ 499 | Train: 0.003833 | Test: 0.003964 
Epoch  255/ 499 | Train: 0.003375 | Test: 0.003843 
Epoch  118/ 499 | Train: 0.003844 | Test: 0.003992 
Epoch  256/ 499 | Train: 0.003374 | Test: 0.003843 
Epoch  119/ 499 | Train: 0.003829 | Test: 0.003958 
Epoch  257/ 499 | Train: 0.003374 | Test: 0.003843 
Epoch  120/ 499 | Train: 0.003826 | Test: 0.003979 
Epoch  258/ 499 | Train: 0.003371 | Test: 0.003853 
Epoch  121/ 499 | Train: 0.003817 | Test: 0.004111 
Epoch  259/ 499 | Train: 0.003375 | Test: 0.003844 
Epoch  122/ 499 | Train: 0.003818 | Test: 0.003967 
Epoch  260/ 499 | Train: 0.003374 | Test: 0.003843 
Epoch  123/ 499 | Train: 0.003812 | Test: 0.004008 
Epoch  261/ 499 | Train: 0.003374 | Test: 0.003847 
Epoch  124/ 499 | Train: 0.003816 | Test: 0.003957 
Epoch  262/ 499 | Train: 0.003374 | Test: 0.003843 
Epoch  125/ 499 | Train: 0.003813 | Test: 0.003986 
Epoch  263/ 499 | Train: 0.003373 | Test: 0.003848 
Epoch  126/ 499 | Train: 0.003809 | Test: 0.004002 
Epoch  264/ 499 | Train: 0.003374 | Test: 0.003845 
Epoch  127/ 499 | Train: 0.003800 | Test: 0.003991 
Epoch  265/ 499 | Train: 0.003371 | Test: 0.003845 
Epoch  128/ 499 | Train: 0.003797 | Test: 0.003985 
Epoch  266/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  129/ 499 | Train: 0.003790 | Test: 0.003951 
Epoch  267/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  130/ 499 | Train: 0.003790 | Test: 0.003942 
Epoch  268/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  131/ 499 | Train: 0.003789 | Test: 0.003985 
Epoch  269/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  132/ 499 | Train: 0.003780 | Test: 0.003937 
Epoch  270/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  133/ 499 | Train: 0.003780 | Test: 0.003981 
Epoch  271/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  134/ 499 | Train: 0.003772 | Test: 0.003949 
Epoch  272/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  135/ 499 | Train: 0.003777 | Test: 0.004000 
Epoch  273/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  136/ 499 | Train: 0.003768 | Test: 0.004042 
Epoch  274/ 499 | Train: 0.003371 | Test: 0.003844 
Epoch  137/ 499 | Train: 0.003726 | Test: 0.003941 
Epoch  275/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  138/ 499 | Train: 0.003723 | Test: 0.003954 
Epoch  276/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  139/ 499 | Train: 0.003721 | Test: 0.003948 
Epoch  277/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  140/ 499 | Train: 0.003720 | Test: 0.003960 
Epoch  278/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  141/ 499 | Train: 0.003715 | Test: 0.003947 
Epoch  279/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  142/ 499 | Train: 0.003717 | Test: 0.003947 
Epoch  280/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  143/ 499 | Train: 0.003717 | Test: 0.003950 
Epoch  281/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  144/ 499 | Train: 0.003717 | Test: 0.003949 
Epoch  282/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  145/ 499 | Train: 0.003714 | Test: 0.003954 
Epoch  283/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  146/ 499 | Train: 0.003716 | Test: 0.003953 
Epoch  284/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  147/ 499 | Train: 0.003714 | Test: 0.003954 
Epoch  285/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  148/ 499 | Train: 0.003715 | Test: 0.003952 
Epoch  286/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  149/ 499 | Train: 0.003714 | Test: 0.003958 
Epoch  287/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  150/ 499 | Train: 0.003712 | Test: 0.003955 
Epoch  288/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  151/ 499 | Train: 0.003710 | Test: 0.003957 
Epoch  289/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  152/ 499 | Train: 0.003708 | Test: 0.003954 
Epoch  290/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  153/ 499 | Train: 0.003709 | Test: 0.003963 
Epoch  291/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  154/ 499 | Train: 0.003707 | Test: 0.003954 
Epoch  292/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  155/ 499 | Train: 0.003706 | Test: 0.003951 
Epoch  293/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  156/ 499 | Train: 0.003705 | Test: 0.003950 
Epoch  294/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  157/ 499 | Train: 0.003706 | Test: 0.003949 
Epoch  295/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  158/ 499 | Train: 0.003705 | Test: 0.003952 
Epoch  296/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  159/ 499 | Train: 0.003705 | Test: 0.003949 
Epoch  297/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  160/ 499 | Train: 0.003705 | Test: 0.003964 
Epoch  298/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  161/ 499 | Train: 0.003704 | Test: 0.003953 
Epoch  299/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  162/ 499 | Train: 0.003703 | Test: 0.003954 
Epoch  300/ 499 | Train: 0.003370 | Test: 0.003844 

 Target: tensor([0.2011, 0.1608, 0.5095, 1.0000]) 
Predicted: tensor([0.2026, 0.1417, 0.5038, 0.9556], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4375, 0.1434, 0.2800, 0.1250]) 
Predicted: tensor([0.4617, 0.0945, 0.2032, 0.1367], grad_fn=<SelectBackward0>) 

 Target: tensor([0.3282, 0.5396, 0.3016, 0.3750]) 
Predicted: tensor([0.3137, 0.5300, 0.2978, 0.5591], grad_fn=<SelectBackward0>) 

Epoch  163/ 499 | Train: 0.003700 | Test: 0.003955 
