Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.060324 | Test: 0.045553 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4273, 0.4538, 0.5038, 0.2180, 0.4301, 0.4515, 0.4204, 0.2194],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4285, 0.4634, 0.5106, 0.2350, 0.4410, 0.4599, 0.4323, 0.2340],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4617, 0.4603, 0.5178, 0.4174, 0.4364, 0.4799, 0.4893, 0.4305],
       grad_fn=<SelectBackward0>) 

Epoch  239/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  240/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  241/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  242/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  243/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  244/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  245/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  246/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  247/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  248/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  249/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  250/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  251/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  252/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  253/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  254/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  255/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  256/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  257/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  258/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  259/ 499 | Train: 0.024303 | Test: 0.025145 
Epoch  260/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  261/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  262/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  263/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  264/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  265/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  266/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  267/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  268/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  269/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  270/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  271/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  272/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  273/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  274/ 499 | Train: 0.024302 | Test: 0.025145 
Epoch  275/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  276/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  277/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  278/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  279/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  280/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  281/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  282/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  283/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  284/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  285/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  286/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  287/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  288/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  289/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  290/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  291/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  292/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  293/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  294/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  295/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  296/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  297/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  298/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  299/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  300/ 499 | Train: 0.024301 | Test: 0.025145 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4996, 0.4975, 0.5132, 0.0569, 0.2246, 0.4646, 0.5188, 0.0532],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4947, 0.4972, 0.4954, 0.0940, 0.1876, 0.2751, 0.5655, 0.0917],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4800, 0.4991, 0.5504, 0.3181, 0.1316, 0.7028, 0.6473, 0.3231],
       grad_fn=<SelectBackward0>) 

Epoch  301/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  302/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  303/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  304/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  305/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  306/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  307/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  308/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  309/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  310/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  311/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  312/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  313/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  314/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  315/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  316/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  317/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  318/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  319/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  320/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  321/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  322/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  323/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  324/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  325/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  326/ 499 | Train: 0.024301 | Test: 0.025145 
Epoch  327/ 499 | Train: 0.024301 | Test: 0.025145 
